"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-213356"	-0.298723405241595	0.0727835600457502	2.61991555794356	0.998582419459157	0.373048266835399	0.470629769661613	"gene-213356"
"gene-393522"	-0.072468197073421	-0.421428549131114	3.37558991796601	0.998071891661667	0.37323402422691	0.470808061989087	"gene-393522"
"gene-53393"	0.0924152692185877	-0.284624894373045	3.88695214533263	0.997053121233043	0.373604991121773	0.471219912620677	"gene-53393"
"gene-258998"	0.386961360535612	0.101605084725026	5.54188783985619	0.996787362855277	0.373701824419358	0.471285947577662	"gene-258998"
"gene-417015"	-0.295664014478263	-0.527996302384236	5.02558725930675	0.996139983302132	0.373937815204013	0.471527441378285	"gene-417015"
"g3660"	0.456946672690295	0.33899557679679	0.23798570947539	0.995491848115541	0.374174234549023	0.471769418048721	"g3660"
"gene-214619"	0.165647715408236	0.105442313712298	7.16832299714147	0.99523214929493	0.374269007528988	0.471832766659982	"gene-214619"
"gene-263487"	0.0347360186366827	-0.0851748987087098	4.40196954446085	0.994024797399523	0.374709934899969	0.472332437568413	"gene-263487"
"gene-66235"	0.134938567229934	-0.64239843093855	-1.44512762041017	0.993655406450263	0.374844943629661	0.472446416402985	"gene-66235"
"gene-395779"	-0.786890312161952	-1.27020071463708	3.37981696632841	0.993045197025805	0.375068078408874	0.472658381405058	"gene-395779"
"g3370"	0.381970357802591	0.520075488200144	-0.153840181462853	0.992951551278022	0.3751023338274	0.472658381405058	"g3370"
"gene-218301"	0.685941227599611	0.542338992715639	1.81584186399202	0.992288832107406	0.375344846830573	0.472907728539448	"gene-218301"
"gene-94979"	-0.361693510862663	-0.00850571473122061	2.22614958468857	0.991528643822635	0.375623225343849	0.473202198994582	"gene-94979"
"gene-282248"	-0.0601759859343728	0.0598654896809762	5.74627760051092	0.991296749659139	0.375708186383824	0.473252965159652	"gene-282248"
"gene-187454"	-0.228702760353868	0.474542646914921	3.51187378612057	0.991126840271289	0.37577045004382	0.47327513237422	"gene-187454"
"gene-64500"	-0.295156975293955	-0.26378023507218	2.53855924025298	0.989992301945699	0.376186475386405	0.47374279690924	"gene-64500"
"gene-232476"	0.128595780517851	-0.430453901455768	7.66682491759662	0.989834080504048	0.376244531333871	0.473759602378336	"gene-232476"
"gene-11230"	-0.226939678072903	0.165434795771602	0.372271840806452	0.988754617875846	0.37664086215003	0.474202302203151	"gene-11230"
"gene-164032"	0.286681837412056	-0.14657021937241	1.35774356779662	0.988548651743696	0.376716532410162	0.474241223407161	"gene-164032"
"gene-349069"	0.618844828768071	1.18371225308705	0.421295358207216	0.988030094263302	0.376907115206454	0.474424779368922	"gene-349069"
"gene-37739"	-0.300178395933593	0.29214251576818	-0.0308079509949055	0.987444241874335	0.377122549525889	0.47460097078042	"gene-37739"
"gene-132656"	0.150340788191661	-0.266253671382321	4.85962107821721	0.987405849838655	0.377136671760205	0.47460097078042	"gene-132656"
"gene-254310"	-0.216508732302197	0.138257557154395	3.23368926661946	0.986688570212078	0.377400617661048	0.474876730167019	"gene-254310"
"gene-154080"	-0.428741623334899	-1.13140546718989	5.41090498350834	0.985910176428611	0.377687266822784	0.475180987800311	"gene-154080"
"gene-229022"	0.127169165389132	0.366214648590662	2.08470333006087	0.985158415729573	0.377964320117844	0.475445542823389	"gene-229022"
"gene-221845"	0.0640729075745552	0.136782435003392	5.45459245320025	0.985096132721523	0.377987283195944	0.475445542823389	"gene-221845"
"gene-207396"	0.204541057320091	0.310642912924624	3.41843991913473	0.984887000673969	0.378064398410788	0.475486096802459	"gene-207396"
"gene-113346"	-0.541872227827117	-0.657495495651546	6.57453392353645	0.984490238111052	0.378210744725491	0.475613701769678	"gene-113346"
"gene-19053"	0.15690053375422	0.110718456552227	6.76648928982862	0.982828030805005	0.378824483574989	0.476325300380998	"gene-19053"
"gene-270096"	0.0238483917847589	0.311991203264737	2.2054292341638	0.982676496596875	0.378880485515371	0.476325300380998	"gene-270096"
"gene-46739"	0.00573422158134227	-0.308520383825626	5.79666482702262	0.982488033318719	0.378950147042962	0.476325300380998	"gene-46739"
"gene-125849"	0.124346813217078	0.347000408113163	2.25360389924374	0.982471049847271	0.378956425274803	0.476325300380998	"gene-125849"
"gene-162896"	-0.116212764582216	0.061890333176911	5.52479797206792	0.980285617506571	0.379765198568467	0.477285262012985	"gene-162896"
"gene-297652"	-0.0703846720173574	-1.06999333660734	6.3353743747054	0.979917811727147	0.379901488130021	0.477399925074205	"gene-297652"
"gene-130964"	0.433914339178315	0.249605917373089	2.24013072929346	0.978970494647061	0.38025274525836	0.477784666045011	"gene-130964"
"gene-53595"	-0.303053442703696	0.698860744594866	1.28883514945359	0.977646834169962	0.38074410525096	0.478331150152135	"gene-53595"
"gene-422395"	0.000391745344554577	-0.766841283079424	1.59710335999663	0.97755570156891	0.380777958808349	0.478331150152135	"gene-422395"
"gene-326810"	1.30665264483428	1.20153960108893	3.603740447907	0.980067707767835	0.380827467842648	0.478336634573341	"gene-326810"
"gene-165817"	0.113561617943458	-0.0778083087410336	5.89676247578382	0.977032632404802	0.380972326070156	0.47846186642638	"gene-165817"
"gene-91126"	0.520587622193567	0.334613234298753	2.78552029976884	0.976494133901442	0.381172533019289	0.478656572632423	"gene-91126"
"gene-304527"	0.389999974431846	0.125324488351762	2.2809038328179	0.976111176549539	0.381314977381333	0.478778706047234	"gene-304527"
"gene-216637"	-0.409312612699706	-0.0677599564358624	3.45407911183841	0.975258018249692	0.381632513450205	0.479120629445305	"gene-216637"
"g7770"	0.376955088533678	-0.179516984327194	1.24819759048215	0.974617673014095	0.381871020999691	0.479323297660804	"g7770"
"gene-337459"	-0.340909911636868	-0.263648770245657	1.16171639556351	0.974581720521781	0.381884416652747	0.479323297660804	"gene-337459"
"gene-338165"	0.283360193602911	0.52087664532502	5.01207045069078	0.974091950525983	0.382066949614671	0.479492180675494	"gene-338165"
"gene-170445"	0.0299063090183551	0.358925792850638	2.02713009154707	0.973882403247885	0.382145073367651	0.479492180675494	"gene-170445"
"gene-78978"	-0.111130967900421	0.024146933646318	6.53747744653939	0.97381134755738	0.382171568183753	0.479492180675494	"gene-78978"
"gene-409312"	-0.494349665177423	-0.793064038436561	2.35045662646899	0.973735163948482	0.382199977159798	0.479492180675494	"gene-409312"
"gene-298745"	0.245198905406281	-1.31909149895264	10.5217187251005	0.973387802797449	0.382329536079512	0.479597935870547	"gene-298745"
"gene-94001"	-0.227856523588705	0.194242275180839	0.356332949380926	0.973181146554013	0.382406636187293	0.479622921089528	"gene-94001"
"gene-54336"	-0.209835439246845	0.258032233853	0.670687073424297	0.973091778136957	0.382439983039394	0.479622921089528	"gene-54336"
"gene-53926"	-0.962190520165095	-1.0420719852576	2.67411171241034	0.972829147051087	0.382537998231484	0.479689068551575	"gene-53926"
"gene-286099"	-0.0623836581357138	-1.05246465775292	7.23392068368185	0.972451928880216	0.382678822955266	0.479768280311841	"gene-286099"
"gene-378277"	0.580540311515767	0.781532646536465	3.26516046791501	0.972417379379833	0.382691723782152	0.479768280311841	"gene-378277"
"gene-260071"	-0.586204278661504	-0.75312380897642	-0.431143836540163	0.972246400856963	0.382755573943339	0.47979156057064	"gene-260071"
"gene-353682"	-0.115122876528115	-0.705466956979805	3.29380257773831	0.97112673134819	0.383173973068525	0.480205064087281	"gene-353682"
"gene-310482"	-0.0361538112886685	-0.195204367050722	4.00977646886844	0.971086372435475	0.383189063179284	0.480205064087281	"gene-310482"
"gene-37233"	0.165244901343011	0.00895916031825536	6.2680692605551	0.970999875174008	0.383221406372409	0.480205064087281	"gene-37233"
"gene-406050"	-0.556756066815746	-0.543846465810299	2.07658073185353	0.970455024261651	0.383425202261436	0.480403623408085	"gene-406050"
"gene-51523"	0.177565568427314	0.677834060309143	1.53849568452236	0.970159412871771	0.383535819174463	0.480485403165359	"gene-51523"
"gene-155223"	-0.254684986940916	-0.826965641125256	10.4288494583054	0.969648841936576	0.383726950404027	0.480668018262332	"gene-155223"
"gene-337417"	0.0281113647223466	0.461844720479164	-0.711496788643241	0.967320515854491	0.384599793933332	0.481704422756216	"gene-337417"
"gene-87163"	-0.310487808358265	-0.180824862910779	6.27769274298914	0.967184725873095	0.384650761714443	0.481711319126136	"gene-87163"
"gene-396719"	-0.674258384219441	-0.839333516407887	6.3050372565078	0.966247536824046	0.38500271774075	0.48209510720645	"gene-396719"
"gene-308282"	0.244930007741582	-0.094936517774548	1.01491611801092	0.965682558728324	0.385215051606198	0.482303992298154	"gene-308282"
"gene-11562"	-0.0111667657911814	0.247236944038679	2.86314545206014	0.964779645095103	0.385554640045873	0.48267213680601	"gene-11562"
"gene-342718"	0.236217652250799	0.415146221796114	2.39761460007549	0.964039657611517	0.385833180398181	0.482963777849867	"gene-342718"
"gene-161836"	-1.02554168194677	-0.138253992654727	0.873941697810486	0.963458415992128	0.386052111571804	0.483180743469742	"gene-161836"
"gene-107473"	-0.391229433882293	-0.82834194930041	1.86228405257973	0.962970458697572	0.386236004530003	0.483252196133404	"gene-107473"
"gene-124353"	1.46675928589625	0.410367460426262	4.57576626036491	0.962917072045666	0.38625612942509	0.483252196133404	"gene-124353"
"gene-228798"	-0.232527435407208	-0.161332572573061	4.22617475663511	0.962876427624496	0.38627145166719	0.483252196133404	"gene-228798"
"gene-146936"	-0.254282825671631	-0.081091777012586	3.49260537878932	0.96282290681704	0.386291629034535	0.483252196133404	"gene-146936"
"gene-114119"	-0.662513061202067	-0.861194956795173	1.07404673318739	0.962216755116402	0.386520223945622	0.483481087584443	"gene-114119"
"gene-274286"	0.741130580382977	0.444534151295791	5.27268711376699	0.96135907869116	0.386843912152086	0.483828858966419	"gene-274286"
"gene-310889"	0.40820361042443	0.212118737630164	2.10202831602274	0.961161982233713	0.386918335888497	0.483864827932788	"gene-310889"
"gene-229859"	6.00895103093866e-05	0.306537730438941	4.82047834320216	0.961003159197728	0.386978318242613	0.483882730717339	"gene-229859"
"gene-180451"	-0.0445660028093036	0.128036696833647	4.04929088775513	0.960457454364988	0.387184486098043	0.484029444639662	"gene-180451"
"gene-224103"	-0.544159790541061	-0.727281285943964	3.98944333764886	0.960450772008578	0.387187011397299	0.484029444639662	"gene-224103"
"gene-126964"	-0.270007470993308	-0.0600847076322271	5.56404773033782	0.960137371728809	0.38730546606281	0.484120410334026	"gene-126964"
"gene-111794"	-0.348812970365059	0.430065054489395	2.69316437566982	0.958924623589897	0.387764193972109	0.484636635919847	"gene-111794"
"gene-185841"	0.308967342216462	0.1613582964305	2.31943373169321	0.958549127708209	0.387906340067597	0.48475711514993	"gene-185841"
"gene-112424"	-0.39676706577782	0.381493422509617	-0.1003440540031	0.958332944231906	0.387988201787604	0.484802238931775	"gene-112424"
"gene-48794"	0.607490057073881	0.356029279347826	0.953400793990555	0.957008920109171	0.388489953774117	0.485371954980609	"gene-48794"
"gene-142263"	-0.240786309557222	-0.416100976921142	0.205829658307378	0.956566311059472	0.388657833206579	0.485472615267098	"gene-142263"
"gene-111304"	0.249835385853875	0.740575942206543	3.62476297436226	0.956554919139108	0.388662155087844	0.485472615267098	"gene-111304"
"gene-57680"	0.421514099565197	-0.112176397881108	0.630977443558571	0.955851892881217	0.388928965484893	0.485748623087921	"gene-57680"
"gene-293682"	0.722425660911155	0.693586400677118	2.29436463521823	0.954921657576118	0.389282294316788	0.486132609378985	"gene-293682"
"gene-370400"	0.537076896158729	0.556397472578153	3.67008065306845	0.953966566902405	0.389645406414625	0.486528720995683	"gene-370400"
"gene-194833"	0.440224672197663	0.582888276418754	2.24014407357589	0.953700709968797	0.389746543286941	0.486597663799744	"gene-194833"
"gene-20311"	-0.0801524268327863	-0.0839073163799314	9.27336248466901	0.953389997427631	0.389864778178142	0.486639546353433	"gene-20311"
"gene-86933"	0.197772662399773	0.262580686076689	1.66249281769212	0.953371171672234	0.389871943091194	0.486639546353433	"gene-86933"
"gene-243112"	-0.314769747098191	-0.130692189890711	1.4797713251226	0.952747438677867	0.390109406627454	0.48687859512656	"gene-243112"
"gene-365719"	-0.108640464475838	0.271894490826355	0.727008539137609	0.952089335316125	0.390360116247412	0.487134117507664	"gene-365719"
"gene-156409"	-0.0832490982931867	-0.262067314784804	2.13740587072111	0.951538250345641	0.390570183492261	0.487338867673575	"gene-156409"
"gene-123625"	0.590879459388949	0.0323932906021726	1.68047534580263	0.951038965712832	0.39076060514562	0.487519059475213	"gene-123625"
"gene-366696"	-0.000401003342051623	-0.167646996638279	5.44381740423933	0.950272512644588	0.39105310718169	0.48782655094151	"gene-366696"
"gene-184184"	0.24354467011053	-0.00663802095391823	1.38120020063388	0.949363205574159	0.391400417941047	0.488202334138121	"gene-184184"
"gene-352502"	0.216076154289497	0.43053144959765	1.52903298428646	0.947823041580362	0.391989407009931	0.488879444053347	"gene-352502"
"gene-154448"	-0.800238309157661	-0.686856484048164	1.47785639024011	0.947363071121857	0.392165484993056	0.489041482757022	"gene-154448"
"gene-137194"	0.602461220674979	0.0312818784388695	1.52707825920892	0.947037479272146	0.392290171496009	0.489139404232962	"gene-137194"
"gene-160945"	-0.266061856287244	0.191748187682223	1.14880918503591	0.946858476868908	0.392358738393022	0.489167336393983	"gene-160945"
"gene-12075"	0.0417316858036766	-0.940648964277125	0.28921177355057	0.942768192206424	0.393928876286397	0.491067102721254	"gene-12075"
"gene-27206"	-0.0762061553093125	0.0201107417033343	6.08839748399885	0.942629269468691	0.393982317576533	0.491075948363833	"gene-27206"
"gene-261080"	-0.14755097821588	0.291087952503978	-0.23034398626522	0.942331954424133	0.394096714765072	0.491160760956328	"gene-261080"
"gene-758"	-0.154876150671951	-0.0572975092505216	4.07969063980783	0.941980610029761	0.394231944610778	0.491271514182736	"gene-758"
"gene-310639"	-0.0849137332270809	-0.421153131662585	2.5247233471289	0.940748954042686	0.394706375782471	0.49180402178841	"gene-310639"
"gene-307264"	0.448555676964172	0.357611418655474	0.969132941714567	0.940620882776476	0.394755742149156	0.49180402178841	"gene-307264"
"gene-358445"	0.0189602127582714	0.342938797555502	1.88060618458688	0.940509943974984	0.394798509752002	0.49180402178841	"gene-358445"
"gene-4842"	0.247626154907552	0.605729075200018	-0.386237170046396	0.94022901236993	0.394906831899274	0.491881132103528	"gene-4842"
"gene-271525"	-0.159403863912799	-0.414322750709264	1.23422254492401	0.939862677549344	0.395048129772111	0.491999292790936	"gene-271525"
"gene-432020"	0.193579678725825	0.633795427537449	0.143363503992023	0.939588955230354	0.395153740206229	0.492072985218616	"gene-432020"
"gene-14798"	-0.178110835788634	-0.0376675607160512	4.63344364871476	0.939181802970867	0.395310885558633	0.492210827659139	"gene-14798"
"gene-407714"	-0.418157410382177	-0.509694584417857	6.84944994474031	0.937708625463826	0.395880011969225	0.492861544686395	"gene-407714"
"gene-353688"	0.0445318428976749	0.146507219427304	6.73173135714097	0.937445081915357	0.395981914206347	0.492930493765326	"gene-353688"
"gene-278631"	0.0365859270767286	-0.110923530490684	6.20102957364716	0.936215846129389	0.396457568271079	0.493464629789774	"gene-278631"
"gene-16790"	0.168741449672595	-0.182995936867992	3.95877086473323	0.935288405060066	0.396816830359537	0.493853786057041	"gene-16790"
"gene-41247"	0.0744888345441448	0.440651266500343	2.94019258619034	0.935153321244192	0.396869185516643	0.493860938312901	"gene-41247"
"gene-7673"	0.101090759636499	0.342042198575591	0.801452690654182	0.933699186050065	0.397433221261896	0.494504745478048	"gene-7673"
"gene-81879"	0.0665546026261651	0.181179799527977	5.44097168415706	0.932010860071411	0.3980891273568	0.495262697366755	"gene-81879"
"gene-385213"	0.543147334129823	0.518529578519643	6.71842651544255	0.931448143515087	0.398307986474287	0.495476804963787	"gene-385213"
"gene-19387"	0.290964800181307	0.422396385204202	1.61395547737956	0.93112010165377	0.398435629758701	0.495577407315787	"gene-19387"
"gene-429329"	-0.0219030758468782	-0.400758978438152	8.88486537479071	0.929764688392627	0.398963475053408	0.496175702073464	"gene-429329"
"gene-154495"	-0.465029984579706	0.530639261078164	1.77664462396318	0.927482277199214	0.399853946932725	0.497224788369811	"gene-154495"
"gene-124537"	-0.0244465326946371	-0.652023992221181	4.72350729636709	0.926362615250016	0.400291522686728	0.497668585826294	"gene-124537"
"gene-270078"	0.0824711679666214	0.110473136253508	5.56193387891289	0.926328734415033	0.400304771328568	0.497668585826294	"gene-270078"
"gene-50428"	-0.381867438600776	0.0851529557738863	4.62105445895417	0.925618997969166	0.400582407561936	0.497955325026546	"gene-50428"
"gene-401383"	-0.155591072246546	-0.0913563735520597	3.67603165541043	0.924166874217295	0.401151067995299	0.498591523071688	"gene-401383"
"gene-399113"	-0.0371574123518579	0.950661386860468	4.45511501895557	0.924071848894264	0.40118830933458	0.498591523071688	"gene-399113"
"gene-9432"	-0.0164478323155117	-0.116923725843823	5.32019867846423	0.923641413503911	0.401357045521287	0.498742729487928	"gene-9432"
"gene-409049"	-0.0191644766006586	-0.7615366351918	0.698354094367488	0.92294380913027	0.401630669955847	0.499024223598986	"gene-409049"
"gene-357221"	-0.176866495965397	-0.488096860322858	5.0413906977593	0.921888595795231	0.402044924535103	0.499480363509667	"gene-357221"
"gene-430185"	-1.04751054939067	-0.171780449939233	2.59204790111427	0.921557464404505	0.402175010070402	0.499583400551698	"gene-430185"
"gene-180958"	0.423823246017315	-0.0249583055847252	5.94745061327212	0.920858991704065	0.402449547847641	0.499865831554754	"gene-180958"
"gene-293753"	0.464784544347503	0.816865912197228	0.567426585161979	0.920587613389086	0.402556266130022	0.499939779174135	"gene-293753"
"gene-57531"	0.0250143876542176	0.443205185059202	0.586611926424885	0.920362345634922	0.402644873689163	0.499991220158252	"gene-57531"
"gene-395002"	-0.154706293793428	-0.412256545178862	4.88136559620047	0.920004197968662	0.402785789852448	0.500107596587361	"gene-395002"
"gene-340811"	-0.0705800401863162	0.122673256721853	5.01660843667738	0.919017531100007	0.403174263759095	0.500531282810939	"gene-340811"
"gene-370562"	0.727172538783373	0.859582006928947	0.85779873261871	0.917363564453092	0.403826331412205	0.501249444469379	"gene-370562"
"gene-69725"	-0.285651137941345	-0.104999949172502	1.72986521650601	0.917310299626203	0.403847348757559	0.501249444469379	"gene-69725"
"gene-202317"	0.290963269555832	-0.173071359713783	0.118769306933126	0.915858229726735	0.404420741854409	0.501902340207228	"gene-202317"
"gene-58031"	-0.140797426351318	-0.374794828318901	0.0957053333003104	0.915713387626787	0.404477982853081	0.501914592611693	"gene-58031"
"gene-422058"	0.90946534672207	1.07113447784022	3.19989868775182	0.91554170215741	0.404545843001889	0.501940017851056	"gene-422058"
"gene-376543"	0.0574623874170477	0.830278906726816	3.52236614006786	0.915401819857702	0.404601141308194	0.501949852862853	"gene-376543"
"gene-364813"	-0.0256892979849736	0.212534535553405	1.79268162929792	0.915176184818132	0.404690355747241	0.502001757140924	"gene-364813"
"gene-358957"	-0.0568952044475153	0.223700289323004	3.14519855777184	0.915023061441893	0.404750911097723	0.502018103007313	"gene-358957"
"gene-339574"	-0.199927709111542	-1.32218971881629	3.7253589904144	0.913440436529936	0.405377332786617	0.502736214677784	"gene-339574"
"gene-348772"	0.333739742908957	0.41874553642	0.284490025351732	0.913272706106508	0.405443780721646	0.502745621333854	"gene-348772"
"gene-31058"	-0.360441763708037	0.143879691415374	-0.579986740515311	0.913181768274385	0.405479811241895	0.502745621333854	"gene-31058"
"gene-249542"	-0.160130883106269	-0.0126701785337842	4.62580819589022	0.912652489777093	0.405689582103754	0.502946859947511	"gene-249542"
"gene-283714"	0.295574547397097	-0.856027698213625	0.381161078192234	0.911444946302967	0.406168588905151	0.503481793172552	"gene-283714"
"gene-59418"	-0.446283615686169	-0.821487854967501	2.28816719982407	0.911175901354951	0.406275392301903	0.503555276269851	"gene-59418"
"gene-376603"	0.0765385322544883	-0.0232099086557288	5.30072890681629	0.910255810444451	0.406640860649889	0.503949305198388	"gene-376603"
"gene-263173"	0.254492745816427	-0.138418647887803	0.787094927416633	0.90997775320104	0.406751373806849	0.504027313396956	"gene-263173"
"gene-370857"	0.994577308889193	0.420561827225319	8.18158672389945	0.908876871595547	0.407189218929762	0.504453826450312	"gene-370857"
"gene-5001"	-0.0948230085365319	-0.00486687773226456	6.47990694819242	0.90887293148872	0.407190786865753	0.504453826450312	"gene-5001"
"gene-326272"	0.416405544525234	0.244670750736188	0.585632034132226	0.906988976494456	0.407941202393071	0.505324407359946	"gene-326272"
"gene-44956"	0.0952181019679133	0.118252608817754	6.64218607067356	0.906739864868377	0.408040534461939	0.505388369743858	"gene-44956"
"gene-128292"	-0.456462260481365	-0.0791236736140732	-0.318936422243398	0.906498887640936	0.408136646581983	0.505413697038323	"gene-128292"
"gene-379166"	-0.160254384676199	-0.545679728336341	5.86920555746843	0.906449417478465	0.408156380290386	0.505413697038323	"gene-379166"
"gene-662"	-0.145377479927986	-0.553293612070991	5.66728066412558	0.905383799010504	0.408581694444084	0.505881237944557	"gene-662"
"gene-30310"	-0.122807889375028	0.110066472551238	2.9499808998533	0.904123702298462	0.409085216154815	0.506393318884749	"gene-30310"
"gene-308945"	-0.363640845668322	-0.203159095141072	2.43711064817019	0.904092855227878	0.409097550304503	0.506393318884749	"gene-308945"
"gene-175070"	0.0179685763553497	-0.154392544753018	4.42062055996838	0.903990057951604	0.409138656377156	0.506393318884749	"gene-175070"
"gene-288642"	-0.113246428623064	-0.0790174289995953	5.95083144744176	0.902987626753293	0.409539725792954	0.50683052260011	"gene-288642"
"gene-366912"	0.0784911204827583	-0.058460407313978	5.39322034462979	0.902795722287023	0.409616552109138	0.506866400344321	"gene-366912"
"gene-396089"	-0.28522345819685	-0.696812615676087	7.81718946692783	0.901400597427795	0.41017551567223	0.507498804771479	"gene-396089"
"gene-187860"	0.379816556347157	-0.391129319655347	2.62905378020312	0.899225357482571	0.411048597305597	0.508519665738482	"gene-187860"
"gene-321587"	0.35921757317111	0.444100104044387	2.87915680105725	0.898808969391563	0.411215941277772	0.508667302565873	"gene-321587"
"gene-414554"	-0.612916944372903	-0.025835866463598	-0.25682981130263	0.898530996798486	0.411327695749488	0.508746149662843	"gene-414554"
"gene-36872"	0.311482936707701	0.38971788709746	1.1358284100673	0.898131541416466	0.411488344992977	0.508885446258821	"gene-36872"
"gene-281382"	0.0212899434197879	0.325153243409679	1.72062560048141	0.897987206833102	0.411546407955527	0.50889785724084	"gene-281382"
"gene-415239"	-0.245327989915677	0.00461630506298118	1.32937373903771	0.897431791210979	0.411769919119966	0.509114826487184	"gene-415239"
"gene-358409"	-0.0246719170335063	0.107252494707779	6.27420921705695	0.897236720510443	0.411848449292607	0.509152510641053	"gene-358409"
"gene-214652"	0.347728553571691	0.266333121962256	2.47080187295	0.896898081308099	0.411984812728031	0.509261674716078	"gene-214652"
"gene-155387"	-0.645920914040707	-0.50225827800384	2.99910418425569	0.896475857440812	0.41215489894709	0.509412493787865	"gene-155387"
"gene-393353"	-0.0413610306761014	-0.128665582833129	6.02099229160007	0.896319122090614	0.412218055635227	0.509431131036956	"gene-393353"
"gene-108475"	0.531999653363023	0.794052185064289	1.46643797845983	0.895190540572485	0.412673111980637	0.50993402851858	"gene-108475"
"gene-184589"	-0.332800511451814	-0.140334453060374	3.17501739334084	0.894774973125507	0.412840803046473	0.510041493306173	"gene-184589"
"gene-180721"	-0.00865032261713281	0.163478167858337	6.08794023900357	0.894736453041235	0.41285635032909	0.510041493306173	"gene-180721"
"gene-73939"	-0.178010035938215	-0.206211614115001	4.82258148171592	0.893969003671732	0.413166229570807	0.510364813305231	"gene-73939"
"gene-378456"	-0.211270545341978	-0.259118778385537	2.74552958434753	0.893538505369273	0.413340159774926	0.510520146051418	"gene-378456"
"gene-289766"	0.144672364436541	0.378123230444787	0.76255738137934	0.893036584197428	0.413543041108607	0.510711196222238	"gene-289766"
"gene-95265"	0.194168083367429	0.296855505677444	1.57306484287208	0.891151508535104	0.414305919201984	0.511593697688408	"gene-95265"
"gene-177851"	-0.0745026247130622	0.111440293574575	5.26889076542186	0.890629940039048	0.414517249449256	0.511781569127156	"gene-177851"
"gene-289816"	0.0645638865325074	-0.0872560878418961	8.02064142652689	0.890537631155281	0.414554662874516	0.511781569127156	"gene-289816"
"gene-201810"	0.644054354345525	0.0864958778310446	-1.10723806931706	0.890374956375317	0.414620604510847	0.511803346388273	"gene-201810"
"gene-252861"	-0.208540826671306	-0.139380776063942	4.64705643235848	0.889945597746404	0.414794700433995	0.511950394942921	"gene-252861"
"gene-24185"	-0.393968136131146	0.799696404085285	4.27092701898245	0.889750837895394	0.414873696185501	0.511950394942921	"gene-24185"
"gene-119085"	0.332385791002048	0.3069428587131	1.87371525172475	0.889723767384973	0.414884677366446	0.511950394942921	"gene-119085"
"gene-335143"	0.203118850695341	0.571864618399808	-0.288640470312354	0.88931468241673	0.415050659406966	0.512095573716373	"gene-335143"
"gene-83907"	-0.653570428186221	-0.705546347001504	2.84728367476557	0.889049819769393	0.41515816103517	0.512168573096829	"gene-83907"
"gene-246168"	0.0917677068896926	-0.0486466161224546	5.29799064598316	0.888812592903103	0.415254470180301	0.512227749246853	"gene-246168"
"gene-186178"	0.394512786101683	1.20158061556612	0.814047989777796	0.88817776517648	0.415512309674296	0.512486140531817	"gene-186178"
"gene-341392"	-0.596146306451827	-0.885912549019277	7.33861894018216	0.887890922858789	0.415628866434595	0.512570236119758	"gene-341392"
"gene-32833"	-0.262070098671815	-0.411126533694819	0.609834168505407	0.886786124880766	0.416078108252593	0.513064544983646	"gene-32833"
"gene-281791"	-0.348230019333487	-0.0474608492334904	1.60599607381477	0.886501761503998	0.416193818934155	0.51311750338903	"gene-281791"
"gene-136648"	-0.405898539695045	-0.496687017835508	-0.18480661345188	0.886442574586172	0.416217906910977	0.51311750338903	"gene-136648"
"gene-344096"	0.435953531749344	0.203902661816334	-0.554868418904143	0.885884186102773	0.41644523104444	0.513338025610387	"gene-344096"
"gene-163028"	-0.29963321875121	-0.065983149258323	4.54629813419538	0.885382759734832	0.41664947398334	0.51347140798507	"gene-163028"
"gene-389161"	-0.559083975737477	-1.31567491210645	6.2367632543115	0.885213902752259	0.416718276586496	0.51347140798507	"gene-389161"
"gene-111958"	0.490291977967454	0.74219949638035	4.4096108054326	0.885198768941741	0.416724443590141	0.51347140798507	"gene-111958"
"gene-176011"	-0.253744678671874	0.0979287890278904	0.833141801739381	0.88514274671173	0.416747273374066	0.51347140798507	"gene-176011"
"gene-425053"	0.108284458373716	-0.684298610205185	5.38125057662643	0.884044244308507	0.417195186578954	0.513887921681455	"gene-425053"
"gene-299829"	0.0998699496637795	-0.0489986766262605	4.32449514842124	0.883974436973235	0.417223667125652	0.513887921681455	"gene-299829"
"gene-259868"	0.0477410349932452	-0.498421692152011	6.3453036315769	0.883956900691075	0.417230822029592	0.513887921681455	"gene-259868"
"gene-251908"	0.052920913496892	-0.072737133776454	6.4339653101618	0.883821412676597	0.417286106160504	0.513896278577022	"gene-251908"
"gene-370213"	0.801982694601854	0.847485772445536	0.446358796853237	0.883647510447891	0.417357075724121	0.513923948212991	"gene-370213"
"gene-166986"	0.176839545761258	0.0222785438912243	6.84810603362434	0.883356286260327	0.417475952146158	0.514010595972657	"gene-166986"
"gene-34460"	0.213344736943721	0.208461246006654	4.27763358713015	0.883169201924169	0.4175523374614	0.514044913180085	"gene-34460"
"gene-140626"	-0.237119559655557	-0.315493764164404	2.58898303994293	0.881625907018903	0.418183001782667	0.514761511023366	"gene-140626"
"gene-292484"	-0.49102593864137	0.595468528292457	2.91786501342321	0.880614033917952	0.418597031823628	0.515211307841	"gene-292484"
"gene-56823"	-0.169754136443254	-0.366047184076388	3.95868384120987	0.8801790366045	0.418775149689275	0.515370672021784	"gene-56823"
"gene-111185"	0.54304867966947	0.764172775492643	3.55884511910766	0.879927363332813	0.418878237556679	0.515437673342303	"gene-111185"
