"logFC.day16"	"logFC.day18"	"logCPM"	"F"	"PValue"	"FDR"	"Gene"
"gene-114715"	2.65546438999636	4.26354114555836	3.48462949077044	53.4840766176189	2.29703843834675e-15	2.86346109326143e-13	"gene-114715"
"gene-85723"	-1.28893532041612	-1.43913473425486	6.79020504870266	53.4496229951122	2.33071752650928e-15	2.86837048459923e-13	"gene-85723"
"gene-45501"	-0.994025188906032	-1.81419846224704	6.54802895112948	53.4249795190589	2.35511732880458e-15	2.86837048459923e-13	"gene-45501"
"gene-119464"	-0.834065100265822	-1.57088193719278	8.33116858248182	53.3119928131505	2.47038611896405e-15	2.97456946778899e-13	"gene-119464"
"gene-210098"	0.158892321959196	3.33289471608907	4.67037447621897	53.0994180639836	2.70319478918864e-15	3.21832044789245e-13	"gene-210098"
"gene-218834"	-0.740772147594631	-1.71925535225777	6.82655860941435	52.8534334452845	3.00088780677142e-15	3.53304524450556e-13	"gene-218834"
"gene-101822"	-0.707332267601668	-1.40686579191334	7.67173897242813	52.6348505449874	3.29359215105997e-15	3.80889405310693e-13	"gene-101822"
"gene-95842"	3.71720409413977	5.44827525748079	3.09696865464027	52.6252639108654	3.30708052931142e-15	3.80889405310693e-13	"gene-95842"
"gene-40796"	-0.827786935513158	-1.5995002187514	10.3076782767881	52.5413270371979	3.42762645921949e-15	3.90528279160105e-13	"gene-40796"
"gene-185569"	-0.933128073318707	-1.61578375737101	7.25110555532452	52.1298782147328	4.08712630539785e-15	4.60714790765911e-13	"gene-185569"
"gene-158012"	-0.693966553726735	-0.793874812986584	7.45935465555051	51.8261177390958	4.6565205004504e-15	5.19373591818658e-13	"gene-158012"
"gene-156998"	-1.21738398067922	-2.28028243194002	5.54892839345967	51.5365045470268	5.27525368193798e-15	5.82256125143904e-13	"gene-156998"
"gene-144104"	-0.7598481958993	-1.63425695311288	6.5807911743462	51.4494659738173	5.47722595967319e-15	5.98316353285538e-13	"gene-144104"
"gene-5528"	-0.689049142063343	-2.03108750328231	9.61110646844775	51.341774911159	5.7381441323068e-15	6.20422196182886e-13	"gene-5528"
"gene-387251"	-0.266883254901836	-0.822211051812689	8.18081065941624	51.296352239746	5.85198650318658e-15	6.26339888765303e-13	"gene-387251"
"gene-99641"	3.90338055119605	5.34007390524625	2.80058153725775	51.2042724477345	6.08992679629346e-15	6.45288643335255e-13	"gene-99641"
"gene-327074"	-0.877966855658239	-1.14766637569141	3.20566410630634	51.146101851879	6.24533622733618e-15	6.55203788760932e-13	"gene-327074"
"gene-173435"	-0.740913714688693	-1.15690186182702	6.56312240803627	50.4233561708381	8.55300546882583e-15	8.86734001396251e-13	"gene-173435"
"gene-13914"	-0.85859778793986	-1.36138863908619	8.63832757767618	50.40559474018	8.61963025139806e-15	8.86734001396251e-13	"gene-13914"
"gene-6199"	-1.12422721810748	-2.54284022070651	9.90166520170166	50.3462280728928	8.8462083674107e-15	9.01292537125806e-13	"gene-6199"
"gene-202468"	-0.87487809741018	-0.970051035590475	5.44119459697112	50.1611963026168	9.59238322846272e-15	9.68008501798009e-13	"gene-202468"
"gene-286274"	4.38616566644161	5.70717850991245	2.86912465504044	50.0903409140756	9.89494650770753e-15	9.89121256562915e-13	"gene-286274"
"gene-202958"	-0.532924046849076	-0.740906459384803	5.4622761257816	50.036905644341	1.01295848234036e-14	1.00311290456808e-12	"gene-202958"
"gene-215534"	-0.459442913575556	-1.0789533043137	8.95321532959236	49.9800779641596	1.03853876767859e-14	1.01892192428911e-12	"gene-215534"
"gene-311934"	-0.823798149878498	-1.28961039765958	5.39853281810699	49.8174620701469	1.11546177044409e-14	1.08435164400235e-12	"gene-311934"
"gene-178537"	-1.18683542681174	-1.94334565981516	8.00125585324797	49.6981453331365	1.17560116507862e-14	1.13242454047028e-12	"gene-178537"
"gene-96237"	0.168532628137178	3.17673419169806	4.52543362095013	49.5417403574412	1.25950688464334e-14	1.20231846393521e-12	"gene-96237"
"gene-353384"	-0.887548271959499	-1.71856509756245	8.7127728070036	49.4417459114966	1.31634622866927e-14	1.24535755705175e-12	"gene-353384"
