geneID,sig_DE
gene-53133,0
gene-217338,0
gene-422633,0
gene-285536,0
gene-121889,0
gene-189077,0
gene-278888,0
gene-301958,0
gene-260400,0
gene-280630,0
gene-283777,0
gene-301889,0
gene-124710,0
gene-395158,0
gene-240638,0
gene-335143,0
gene-373211,0
gene-232275,0
gene-70988,0
gene-59672,0
gene-408336,0
gene-215430,0
gene-253041,0
gene-39016,0
gene-373641,0
gene-409964,0
gene-84703,0
gene-255311,0
g7191,0
gene-290097,0
gene-125638,0
gene-228255,0
gene-5580,0
gene-292116,0
gene-283714,0
gene-268146,0
gene-371307,0
gene-282524,0
gene-168229,0
gene-88038,0
gene-288858,0
gene-237282,0
gene-129852,0
gene-429188,0
gene-2467,0
gene-196565,0
gene-404981,0
gene-127740,0
gene-336178,0
gene-239129,0
gene-368797,0
gene-417051,0
gene-383816,0
gene-333673,0
gene-83830,0
gene-253801,0
gene-39698,0
gene-333389,0
gene-299829,0
gene-82722,0
gene-353861,0
gene-241801,0
gene-283555,0
gene-333720,0
gene-253278,0
gene-42162,0
gene-327450,0
gene-37544,0
gene-65802,0
gene-430104,0
gene-327879,0
gene-405720,0
gene-323255,0
gene-13249,0
gene-5740,0
gene-85294,0
gene-423321,0
gene-332676,0
gene-281505,0
gene-90428,0
gene-331869,0
gene-196595,0
gene-281058,0
gene-290022,0
gene-296772,0
gene-124805,0
gene-297272,0
gene-199414,0
gene-321177,0
gene-21668,0
gene-199557,0
gene-243924,0
gene-30619,0
gene-250782,0
g4946,0
gene-23335,0
gene-138051,0
gene-285405,0
gene-196580,0
gene-146582,0
gene-117742,0
gene-235622,0
gene-336133,0
gene-243753,0
gene-131449,0
gene-283842,0
gene-333231,0
gene-261563,0
gene-327575,0
gene-421193,0
gene-120832,0
gene-294690,0
gene-122072,0
gene-48759,0
gene-261127,0
gene-223357,0
gene-243942,0
gene-343242,0
gene-407280,0
gene-54991,0
gene-282620,0
gene-398005,0
gene-286039,0
gene-243062,0
gene-74816,0
gene-8432,0
gene-374700,0
gene-243630,0
gene-243127,0
gene-370487,0
gene-186151,0
gene-6017,0
gene-388138,0
gene-215608,0
gene-330280,0
gene-83136,0
gene-213648,0
gene-48981,0
gene-187239,0
gene-170361,0
gene-312314,0
gene-219004,0
gene-371437,0
gene-329354,0
gene-192774,0
gene-339735,0
gene-335283,0
gene-291876,0
gene-414040,0
gene-124537,0
gene-96201,0
gene-47315,0
gene-347067,0
gene-426474,0
gene-63754,0
gene-289056,0
gene-73861,0
